presyn_cell_group,postsyn_cell_group,synapses,synapse_fraction
SNnuchPDF,INZ,3,0.06521739130434782
SNnuchPDF,INbigloop,1,0.05555555555555555
SNnuchPDF,INUturn,0,0
SNnuchPDF,INdecussfoot,0,0
SNnuchPDF,INdecusshook,0,0
SNnuchPDF,INlasso.postSN,0,0
SNnuchPDF,INR1,0,0
SNnuchPDF,INmus,0,0
SNnuchPDF,INdescLuqinPDF,0,0
SNnuchPDF,INsqNSasym,2,0.1
SNnuchPDF,INhorn,0,0
SNnuchPDF,INMBPDF,0,0
SNnuchPDF,INMBdescFMRF,3,0.21428571428571427
SNnuchPDF,INDLSO,3,0.17647058823529413
SNnuchPDF,INexsn,0,0
SNnuchPDF,MBmouth.young.1360479,0,0
SNnuchPDF,INtorii,0,0
SNnuchPDF,INUturnMB,0,0
SNnuchPDF,IN.1301924,0,0
SNnuchPDF,INMBdesc3,0,0
SNnuchPDF,INMBdesc2,0,0
SNnuchPDF,INpara,0,0
SNnuchPDF,Ser.h1,0,0
SNnuchPDF,MC,0,0
SNnuchPDF,MNant,2,0.015503875968992248
SNnuchPDF,MN3,0,0
SNnuchPDF,MN1,0,0
SNnuchPDF,MN2,0,0
SNnuchPDF,MNakro,0,0
SNnuchPDF,MNgland.head,0,0
SNnuchPDF,MNheadV,0,0
SNnuchNS,PRC,0,0
SNnuchNS,cPRC,0,0
SNnuchNS,SNnuchPDF,0,0
SNnuchNS,SNnuchNS,1,0.041666666666666664
SNnuchNS,SNnuchBx,0,0
SNnuchNS,SNgolden,0,0
SNnuchNS,SNhorn,0,0
SNnuchNS,SNhook,0,0
SNnuchNS,SNlasso,0,0
SNnuchNS,SNMIP.vc,0,0
SNnuchNS,SNmus,0,
SNnuchNS,SNantlerPDF,0,0
SNnuchNS,SNPDF.dcl1,0,0
SNnuchNS,SN.DLSO1.2,0,0
SNnuchNS,SN.DLSO,1,0.009174311926605505
SNnuchNS,SN.DLSO1.2.1,0,0
SNnuchNS,SN.DLSO2l,0,0
SNnuchNS,SNMB2,0,0
SNnuchNS,eyespot.PRCR3,0,0
SNnuchNS,eyespot.PRCR1,0,0
SNnuchNS,MS1,0,0
SNnuchNS,MS2,0,0
SNnuchNS,MS3,0,0
SNnuchNS,SN.ASTC,0,0
SNnuchNS,SN.DLSO3.PDF,0,0
SNnuchNS,SN.DLSO3,0,0
SNnuchNS,SN.IRP2.burs,0,0
SNnuchNS,SN.IRP2.FMRF,0,0
SNnuchNS,SN.MIP4,0,0
SNnuchNS,SN.MIP1,0,0
SNnuchNS,SN.WLD,5,0.11904761904761904
SNnuchNS,SN.DSO17,0,0
SNnuchNS,SNbicil,0,0
SNnuchNS,SNasym,0,0
SNnuchNS,SN47Ach,0,0
SNnuchNS,dsoNPB1unp,0,0
SNnuchNS,antPUc,0,0
SNnuchNS,hPUc1,0,0
SNnuchNS,hPUc,0,0
SNnuchNS,dsoPUc1unp,0,0
SNnuchNS,hPU2l.asymPDF,0,0
SNnuchNS,hCR2,0,0
SNnuchNS,SN.DLSO1.0,0,0
SNnuchNS,SN.NS1,0,0
SNnuchNS,SN.NS3,0,0
SNnuchNS,SN.NS4,0,0
SNnuchNS,SN.NS15,0,0
SNnuchNS,SNaant,0,0
SNnuchNS,SN.NS22,0,0
SNnuchNS,SN.NS5,0,0
SNnuchNS,SN.NS17,0,0
SNnuchNS,SN.YF5cil,3,0.13636363636363635
SNnuchNS,SN.NS19,0,0
SNnuchNS,SN.NS20,0,0
SNnuchNS,SN.NS6,0,
SNnuchNS,SN.NS29,0,0
SNnuchNS,SN.NS27,0,0
SNnuchNS,SN.NS18,0,0
SNnuchNS,SN.NS16,0,0
SNnuchNS,SNadNS22,0,0
SNnuchNS,SNblunt,0,0
SNnuchNS,SN.DLSO1.3,1,0.09090909090909091
SNnuchNS,SNbronto,0,0
SNnuchNS,SN.DLSO1.1NP,0,0
SNnuchNS,SN.DLSO1.1,0,0
SNnuchNS,SNtorii,0,0
SNnuchNS,SNtrpa,0,0
SNnuchNS,IN1,0,0
SNnuchNS,INton,0,0
SNnuchNS,INpreSer,0,0
SNnuchNS,INRGWa,8,0.027874564459930314
SNnuchNS,INNOS,0,0
SNnuchNS,cMNPDF.vcl1,0,0
SNnuchNS,cMNATO,0,0
SNnuchNS,cMNdc..PDF,0,0
SNnuchNS,INlasso,0,0
SNnuchNS,INdecussPre,0,0
SNnuchNS,INpreMN,0,0
SNnuchNS,MC2biax.1,0,0
SNnuchNS,INCrossbow,1,0.012658227848101266
SNnuchNS,INarc1,0,0
SNnuchNS,INarc2,0,0
SNnuchNS,INsn,0,0
SNnuchNS,INrope,0,0
SNnuchNS,INMC3,0,0
SNnuchNS,INbiax,0,0
SNnuchNS,INsplitPUh,0,0
SNnuchNS,INdc,0,0
SNnuchNS,INfoot,0,0
SNnuchNS,INW,0,0
SNnuchNS,INmidL,0,0
SNnuchNS,INhook,0,0
SNnuchNS,INMBtype6,0,0
SNnuchNS,INMBtype5,0,0
SNnuchNS,INMBtype7,0,0
SNnuchNS,INcross,0,0
SNnuchNS,INpro,0,0
SNnuchNS,INproT2,0,0
SNnuchNS,INpear,0,0
SNnuchNS,INZ,0,0
SNnuchNS,INbigloop,0,0
SNnuchNS,INUturn,0,0
SNnuchNS,INdecussfoot,0,0
SNnuchNS,INdecusshook,0,0
SNnuchNS,INlasso.postSN,0,0
SNnuchNS,INR1,0,0
SNnuchNS,INmus,0,0
SNnuchNS,INdescLuqinPDF,0,0
SNnuchNS,INsqNSasym,0,0
SNnuchNS,INhorn,0,0
SNnuchNS,INMBPDF,0,0
SNnuchNS,INMBdescFMRF,0,0
SNnuchNS,INDLSO,0,0
SNnuchNS,INexsn,0,0
SNnuchNS,MBmouth.young.1360479,0,0
SNnuchNS,INtorii,0,0
SNnuchNS,INUturnMB,0,0
SNnuchNS,IN.1301924,0,0
SNnuchNS,INMBdesc3,0,0
SNnuchNS,INMBdesc2,0,0
SNnuchNS,INpara,0,0
SNnuchNS,Ser.h1,0,0
SNnuchNS,MC,0,0
SNnuchNS,MNant,0,0
SNnuchNS,MN3,0,0
SNnuchNS,MN1,0,0
SNnuchNS,MN2,0,0
SNnuchNS,MNakro,0,0
SNnuchNS,MNgland.head,0,0
SNnuchNS,MNheadV,0,0
SNnuchBx,PRC,0,0
SNnuchBx,cPRC,0,0
SNnuchBx,SNnuchPDF,1,0.011904761904761904
SNnuchBx,SNnuchNS,0,0
SNnuchBx,SNnuchBx,2,0.4
SNnuchBx,SNgolden,0,0
SNnuchBx,SNhorn,0,0
SNnuchBx,SNhook,0,0
SNnuchBx,SNlasso,0,0
SNnuchBx,SNMIP.vc,0,0
SNnuchBx,SNmus,0,
SNnuchBx,SNantlerPDF,0,0
SNnuchBx,SNPDF.dcl1,0,0
SNnuchBx,SN.DLSO1.2,0,0
SNnuchBx,SN.DLSO,0,0
SNnuchBx,SN.DLSO1.2.1,0,0
SNnuchBx,SN.DLSO2l,0,0
SNnuchBx,SNMB2,0,0
SNnuchBx,eyespot.PRCR3,0,0
SNnuchBx,eyespot.PRCR1,0,0
SNnuchBx,MS1,0,0
SNnuchBx,MS2,0,0
SNnuchBx,MS3,0,0
SNnuchBx,SN.ASTC,0,0
SNnuchBx,SN.DLSO3.PDF,0,0
SNnuchBx,SN.DLSO3,0,0
SNnuchBx,SN.IRP2.burs,0,0
SNnuchBx,SN.IRP2.FMRF,0,0
SNnuchBx,SN.MIP4,0,0
SNnuchBx,SN.MIP1,0,0
SNnuchBx,SN.WLD,0,0
SNnuchBx,SN.DSO17,0,0
SNnuchBx,SNbicil,0,0
SNnuchBx,SNasym,0,0
SNnuchBx,SN47Ach,0,0
SNnuchBx,dsoNPB1unp,0,0
SNnuchBx,antPUc,0,0
SNnuchBx,hPUc1,0,0
SNnuchBx,hPUc,0,0
SNnuchBx,dsoPUc1unp,0,0
SNnuchBx,hPU2l.asymPDF,0,0
SNnuchBx,hCR2,0,0
SNnuchBx,SN.DLSO1.0,0,0
SNnuchBx,SN.NS1,0,0
SNnuchBx,SN.NS3,0,0
SNnuchBx,SN.NS4,0,0
SNnuchBx,SN.NS15,0,0
SNnuchBx,SNaant,0,0
SNnuchBx,SN.NS22,0,0
SNnuchBx,SN.NS5,0,0
SNnuchBx,SN.NS17,0,0
SNnuchBx,SN.YF5cil,0,0
SNnuchBx,SN.NS19,0,0
SNnuchBx,SN.NS20,0,0
SNnuchBx,SN.NS6,0,
SNnuchBx,SN.NS29,0,0
SNnuchBx,SN.NS27,0,0
SNnuchBx,SN.NS18,0,0
SNnuchBx,SN.NS16,0,0
SNnuchBx,SNadNS22,0,0
SNnuchBx,SNblunt,0,0
SNnuchBx,SN.DLSO1.3,0,0
SNnuchBx,SNbronto,0,0
SNnuchBx,SN.DLSO1.1NP,0,0
SNnuchBx,SN.DLSO1.1,0,0
SNnuchBx,SNtorii,0,0
SNnuchBx,SNtrpa,0,0
SNnuchBx,IN1,0,0
SNnuchBx,INton,0,0
SNnuchBx,INpreSer,0,0
SNnuchBx,INRGWa,0,0
SNnuchBx,INNOS,0,0
SNnuchBx,cMNPDF.vcl1,0,0
SNnuchBx,cMNATO,0,0
SNnuchBx,cMNdc..PDF,0,0
SNnuchBx,INlasso,0,0
SNnuchBx,INdecussPre,0,0
SNnuchBx,INpreMN,0,0
SNnuchBx,MC2biax.1,0,0
SNnuchBx,INCrossbow,0,0
SNnuchBx,INarc1,0,0
SNnuchBx,INarc2,0,0
SNnuchBx,INsn,0,0
SNnuchBx,INrope,0,0
SNnuchBx,INMC3,0,0
SNnuchBx,INbiax,9,0.32142857142857145
SNnuchBx,INsplitPUh,0,0
SNnuchBx,INdc,0,0
SNnuchBx,INfoot,0,0
SNnuchBx,INW,0,0
SNnuchBx,INmidL,0,0
SNnuchBx,INhook,0,0
SNnuchBx,INMBtype6,0,0
SNnuchBx,INMBtype5,0,0
SNnuchBx,INMBtype7,0,0
SNnuchBx,INcross,0,0
SNnuchBx,INpro,0,0
SNnuchBx,INproT2,0,0
SNnuchBx,INpear,0,0
SNnuchBx,INZ,0,0
SNnuchBx,INbigloop,0,0
SNnuchBx,INUturn,0,0
SNnuchBx,INdecussfoot,0,0
SNnuchBx,INdecusshook,0,0
SNnuchBx,INlasso.postSN,0,0
SNnuchBx,INR1,0,0
SNnuchBx,INmus,0,0
SNnuchBx,INdescLuqinPDF,0,0
SNnuchBx,INsqNSasym,0,0
SNnuchBx,INhorn,0,0
SNnuchBx,INMBPDF,0,0
SNnuchBx,INMBdescFMRF,0,0
SNnuchBx,INDLSO,0,0
SNnuchBx,INexsn,0,0
